"name","categoryId","categoryName"
"Luna S141C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S140E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S140C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S139E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S139C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S138G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S138E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S138C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S138A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S135G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S135A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S129H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S128H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S128F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S127H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S125J","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S125H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S125B","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S111H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S111G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S111B","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S111A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S110L","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S110H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S110E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S110B","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S109H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S109E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S108I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S108G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S108F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S108E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S108C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S108A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S107I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S107G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S107F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S107E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S107C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S107A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S106I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S106G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S106F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S106E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S106C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S106A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S105I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S105G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S105F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S105E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S105C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S105A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S104I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S104G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S104F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S104E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S104C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S104B","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S104A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S102I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S102G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S102F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S102E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S102C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S102A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S101I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S101G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S101F","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S101E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S101C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S101A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S062U","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S062I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S062G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S062E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S062C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S062A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S061U","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S061I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S061G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S061E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S061C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S061A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S060U","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S060I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S060G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S060E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S060C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S060A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S028U","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S028I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S028G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S028E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S028C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S028A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S027U","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S027I","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S027G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S027E","cmmlge0bf00049gu5j9w46wkb","Minimal"
